Variable Name,Description
Label,Label of Activity
tBodyAcc.mean...X,Refer Feature file in repos
tBodyAcc.mean...Y,Refer Feature file in repos
tBodyAcc.mean...Z,Refer Feature file in repos
tBodyAcc.std...X,Refer Feature file in repos
tBodyAcc.std...Y,Refer Feature file in repos
tBodyAcc.std...Z,Refer Feature file in repos
tBodyAcc.mad...X,Refer Feature file in repos
tBodyAcc.mad...Y,Refer Feature file in repos
tBodyAcc.mad...Z,Refer Feature file in repos
tBodyAcc.max...X,Refer Feature file in repos
tBodyAcc.max...Y,Refer Feature file in repos
tBodyAcc.max...Z,Refer Feature file in repos
tBodyAcc.min...X,Refer Feature file in repos
tBodyAcc.min...Y,Refer Feature file in repos
tBodyAcc.min...Z,Refer Feature file in repos
tBodyAcc.sma..,Refer Feature file in repos
tBodyAcc.energy...X,Refer Feature file in repos
tBodyAcc.energy...Y,Refer Feature file in repos
tBodyAcc.energy...Z,Refer Feature file in repos
tBodyAcc.iqr...X,Refer Feature file in repos
tBodyAcc.iqr...Y,Refer Feature file in repos
tBodyAcc.iqr...Z,Refer Feature file in repos
tBodyAcc.entropy...X,Refer Feature file in repos
tBodyAcc.entropy...Y,Refer Feature file in repos
tBodyAcc.entropy...Z,Refer Feature file in repos
tBodyAcc.arCoeff...X.1,Refer Feature file in repos
tBodyAcc.arCoeff...X.2,Refer Feature file in repos
tBodyAcc.arCoeff...X.3,Refer Feature file in repos
tBodyAcc.arCoeff...X.4,Refer Feature file in repos
tBodyAcc.arCoeff...Y.1,Refer Feature file in repos
tBodyAcc.arCoeff...Y.2,Refer Feature file in repos
tBodyAcc.arCoeff...Y.3,Refer Feature file in repos
tBodyAcc.arCoeff...Y.4,Refer Feature file in repos
tBodyAcc.arCoeff...Z.1,Refer Feature file in repos
tBodyAcc.arCoeff...Z.2,Refer Feature file in repos
tBodyAcc.arCoeff...Z.3,Refer Feature file in repos
tBodyAcc.arCoeff...Z.4,Refer Feature file in repos
